"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"H3219","11","ALLINA HEALTH AND AETNA INSURANCE COMPANY","Allina Health Aetna Medicare","Allina Health and Aetna Insurance Holding Company"
"H3239","16","AETNA BETTER HEALTH, INC. (LA)","Aetna Medicare","CVS Health Corporation"
"H3240","3","WELLPOINT NEW JERSEY, INC.","Wellpoint","Elevance Health, Inc."
"H3251","3","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of New Mexico","Health Care Service Corporation"
"H3256","3","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3259","3","VOLUNTEER STATE HEALTH PLAN","BlueCare Plus Tennessee","BlueCross BlueShield of Tennessee"
"H3274","3","ALIGN SENIOR CARE CALIFORNIA INC.","Align Senior Care","Curana Health Holdings, LLC"
"H3276","1","CONNECTICARE INSURANCE COMPANY, INC.","ConnectiCare","Molina Healthcare, Inc."
"H3284","2","PNW PACE PARTNERS, LLC","Pacific Northwest PACE Partners","MultiCare Health Systems"
"H3288","25","AETNA HEALTH AND LIFE INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation"
"H3291","3","PRUITTHEALTH PREMIER, INC.","PruittHealth Premier","UNICO Services, Inc."
"H3305","9","MVP HEALTH PLAN, INC.","MVP HEALTH CARE","MVP Health Care, Inc."
"H3312","19","AETNA HEALTH INC. (NY)","Aetna Medicare","CVS Health Corporation"
"H3321","2","LORETTO INDEPENDENT LIVING SERVICES, INC.","Independent Living Srvcs Of Central Ny","Loretto Management Corporation"
"H3322","2","SENIOR CARE CONNECTION, INC.","Eddy SeniorCare","Trinity Health Corporation"
"H3329","2","CENTERLIGHT HEALTHCARE, INC.","CenterLight Healthcare PACE","CenterLight Health System, Inc."
"H3330","7","HEALTH INSURANCE PLAN OF GREATER NEW YORK","EmblemHealth","EmblemHealth, Inc."
"H3331","2","INDEPENDENT LIVING FOR SENIORS, INC.","ElderONE an Affiliate of Rochester Regional Health","Rochester Regional Health"
"H3335","18","EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc."
"H3344","4","INDEPENDENT HEALTH BENEFITS CORPORATION","Independent Health","Independent Health Association, Inc."
"H3347","6","ELDERPLAN, INC.","Elderplan","Elderplan, Inc."
"H3351","16","EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc."
"H3359","7","HEALTHFIRST HEALTH PLAN, INC.","Healthfirst Medicare Plan","Healthfirst, Inc."
"H3362","10","INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health","Independent Health Association, Inc."
