"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"R5342","1","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"R5361","4","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
"R5826","5","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
"R5941","3","ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"R6694","1","AETNA LIFE INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation"
"R6801","4","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"R7220","4","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
"R7444","1","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"S0262","6","KAISER PERMANENTE INSURANCE COMPANY","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"S0375","2","CAREFIRST ADVANTAGE PPO, INC","CareFirst BlueCross BlueShield Group Prescription Drug Plan","CareFirst, Inc."
"S0586","1","MVP HEALTH PLAN, INC.","MVP Health Care","MVP Health Care, Inc."
"S1030","7","BCBS OF ALABAMA & UTIC INSURANCE COMPANY","BlueRx (PDP)","BlueCross BlueShield of Alabama"
"S1140","2","Highmark Western and Northeastern New York Inc.","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health"
"S1822","4","HEALTHPARTNERS, INC.","HealthPartners","HealthPartners, Inc."
"S2135","6","BLUE CROSS BLUE SHIELD ASSOCIATION","Blue Cross Blue Shield Association","BlueCross BlueShield Association, Federal Employee"
"S2468","4","CALIFORNIA PHYSICIANS' SERVICE","Blue Shield of California","California Physicians' Service"
"S2893","4","ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT","Blue MedicareRx","Elevance Health, Inc. & BCBSMA & BCBSRI & BCBSVT"
"S3285","18","MG INSURANCE COMPANY","MG Insurance Company","MedImpact Holdings, Inc."
"S3389","3","UPMC HEALTH BENEFITS, INC.","UPMC Health Plan","UPMC Health System"
"S3521","1","EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc."
"S3875","10","GRANITE ALLIANCE INSURANCE COMPANY","Granite Alliance","Prime Therapeutics, LLC."
"S3994","2","HAWAII MEDICAL SERVICE ASSOCIATION (HMSA)","HMSAs Medicare Rx Plan","Hawaii Medical Service Association"
"S4501","16","INDEPENDENT HEALTH BENEFITS CORPORATION","Pharmacy Benefit Dimensions PDP","Independent Health Association, Inc."
"S4802","68","WELLCARE PRESCRIPTION INSURANCE, INC.","Wellcare","Centene Corporation"
"S4983","1","KAISER FOUNDATION HEALTH PLAN OF WASHINGTON OPTIONS INC","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"S5540","4","BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","CuraCor Solutions Corp."
"S5584","4","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Blue Cross Blue Shield of Michigan","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"S5593","6","HM HEALTH INSURANCE COMPANY","Highmark Blue Shield","Highmark Health"
"S5596","7","ANTHEM INSURANCE COMPANIES, INC.","Anthem Insurance Companies, Inc.","Elevance Health, Inc."
"S5601","56","SILVERSCRIPT INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation"
"S5609","3","ASURIS NORTHWEST HEALTH","Asuris Northwest Health","Cambia Health Solutions, Inc."
"S5617","64","MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY","HealthSpring","Health Care Service Corporation"
"S5660","6","MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY","Express Scripts Medicare","Health Care Service Corporation"
"S5715","29","MEDCO CONTAINMENT LIFE & MEDCO CONTAINMENT NY & HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of IL, NM, OK, TX","Health Care Service Corporation"
"S5726","4","BLUE CROSS AND BLUE SHIELD OF KANSAS","Blue Cross and Blue Shield of Kansas","Blue Cross Blue Shield of Kansas"
"S5743","3","WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY","MedicareBlue Rx","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD"
"S5795","6","USABLE MUTUAL INSURANCE COMPANY","Arkansas Blue Medicare","USAble Mutual Insurance Company"
"S5805","33","UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK","UnitedHealthcare","UnitedHealth Group, Inc."
"S5820","36","UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY","UnitedHealthcare","UnitedHealth Group, Inc."
"S5857","2","PRIORITY HEALTH INSURANCE COMPANY","Priority Health Medicare","Corewell Health"
"S5877","2","EDUCATORS MUTUAL INSURANCE ASSOCIATION","EMI Health","Educators Mutual Insurance Association"
"S5884","105","Humana Insurance Co. & Humana Insurance Co. of NY","Humana","Humana Inc."
"S5904","4","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Florida Blue","Guidewell Mutual Holding Corporation"
"S5916","3","REGENCE BLUESHIELD OF IDAHO AND REGENCE BC BS UTAH","Regence BlueShield of Idaho and Regence BC BS Utah","Cambia Health Solutions, Inc."
"S5921","75","UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY","UnitedHealthcare","UnitedHealth Group, Inc."
"S5953","3","BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA","Blue Cross Blue Shield of South Carolina","BlueCross BlueShield of South Carolina (BCBSSC)"
"S5960","3","WELLPOINT LIFE AND HEALTH INSURANCE COMPANY","Wellpoint","Elevance Health, Inc."
"S5966","2","EMBLEMHEALTH PLAN, INC","EmblemHealth","EmblemHealth, Inc."
"S5975","4","MODA HEALTH PLAN, INC.","Moda Health Plan, Inc.","Moda Partners, Inc."
"S5993","5","HORIZON INSURANCE COMPANY","Horizon Blue Cross Blue Shield of New Jersey","Horizon Mutual Holdings, Inc"
"S6875","2","QCC INSURANCE COMPANY","Independence Blue Cross","Independence Health Group, Inc."
"S6939","1","MASS GENERAL BRIGHAM HEALTH PLAN, INC","Mass General Brigham Health Plan","Mass General Brigham Incorporated"
"S8067","7","Avalon Insurance Company","Avalon Insurance Company","CAPITAL BLUE CROSS"
"S8841","12","OPTUM INSURANCE OF OHIO, INC.","Optum Insurance of Ohio, Inc.","UnitedHealth Group, Inc."
"S9701","6","DEAN HEALTH INSURANCE, INC.","Navitus MedicareRx","Medica Holding Company"
"X0001","2","Humana Insurance Co. & Humana Insurance Co. of NY","Medicare's Limited Income NET Program","Humana Inc."
