enumeration_approach,payer_id,payer_lbn,plan_id,plan_name,fhir_url,fhir_url_vendor,fhir_url_type,sandbox_fhir_url,documentation_url,swagger_url,open_api_url,well_known_url
,,,,MMM Multihealth,https://auth.mmmhealthcarefhir.com/oauth2/authorize/mhprod,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,"ASPIRUS HEALTH PLAN, INC.",,Aspirus,https://auth.ucarefhir.com/oauth2/authorize/system-aspirus,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,,,Balance,https://auth.chinesecommunityhealthplanfhir.com/oauth2/authorize/system-balance,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,CAPITAL HEALTH PLAN,,Capital Health Plan Medicare Advantage,https://auth.capitalhealthplanfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,,,Capital Health Plan Commercial,https://auth.capitalhealthplanfhir.com/oauth2/authorize/system-chpcomm,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,,,Cox HealthPlans - MedicareAdvantage,https://api.coxhealthplanfhir.com/r4/publicProdMa/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,,,The Health Plan (MHT),https://api.thehealthplanfhir.com/r4/publicMHT/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,,,The Health Plan (CHIP),https://api.thehealthplanfhir.com/r4/publicCHIP/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,,,MMM Multihealth,https://api.mmmhealthcarefhir.com/r4/public-mh/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,"ASPIRUS HEALTH PLAN, INC.",,Aspirus,https://api.ucarefhir.com/r4/publicAspirus/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,,,Balance,https://api.chinesecommunityhealthplanfhir.com/r4/publicBalance/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,CAPITAL HEALTH PLAN,,Capital Health Plan Medicare Advantage,https://api.capitalhealthplanfhir.com/r4/public-ma/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,,,Capital Health Plan Commercial,https://api.capitalhealthplanfhir.com/r4/public-comm/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
